Earthx Earthy Earthz Sunx Suny Sunz 
-0.2669 0.963737 0 0 0 0 
-0.27295 0.962041 0 0 0 0 
-0.278989 0.960307 0 0 0 0 
-0.285018 0.958536 0 0 0 0 
-0.291034 0.956726 0 0 0 0 
-0.29704 0.954878 0 0 0 0 
-0.303034 0.952993 0 0 0 0 
-0.309015 0.951071 0 0 0 0 
-0.314985 0.94911 0 0 0 0 
-0.320942 0.947113 0 0 0 0 
-0.326886 0.945078 0 0 0 0 
-0.332818 0.943005 0 0 0 0 
-0.338736 0.940895 0 0 0 0 
-0.344641 0.938749 0 0 0 0 
-0.350533 0.936565 0 0 0 0 
-0.35641 0.934344 0 0 0 0 
-0.362274 0.932086 0 0 0 0 
-0.368123 0.929792 0 0 0 0 
-0.373957 0.92746 0 0 0 0 
-0.379777 0.925093 0 0 0 0 
-0.385582 0.922688 0 0 0 0 
-0.391372 0.920248 0 0 0 0 
-0.397146 0.91777 0 0 0 0 
-0.402905 0.915257 0 0 0 0 
-0.408647 0.912708 0 0 0 0 
-0.414374 0.910122 0 0 0 0 
-0.420084 0.907501 0 0 0 0 
-0.425778 0.904843 0 0 0 0 
-0.431454 0.90215 0 0 0 0 
-0.437114 0.899422 0 0 0 0 
-0.442756 0.896658 0 0 0 0 
-0.448381 0.893858 0 0 0 0 
-0.453989 0.891024 0 0 0 0 
-0.459578 0.888154 0 0 0 0 
-0.465149 0.885249 0 0 0 0 
-0.470702 0.882309 0 0 0 0 
-0.476236 0.879334 0 0 0 0 
-0.481752 0.876324 0 0 0 0 
-0.487248 0.87328 0 0 0 0 
-0.492726 0.870202 0 0 0 0 
-0.498183 0.867089 0 0 0 0 
-0.503622 0.863942 0 0 0 0 
-0.50904 0.86076 0 0 0 0 
-0.514438 0.857545 0 0 0 0 
-0.519816 0.854296 0 0 0 0 
-0.525173 0.851013 0 0 0 0 
-0.53051 0.847697 0 0 0 0 
-0.535825 0.844347 0 0 0 0 
-0.54112 0.840964 0 0 0 0 
-0.546393 0.837547 0 0 0 0 
-0.551644 0.834098 0 0 0 0 
-0.556874 0.830615 0 0 0 0 
-0.562082 0.8271 0 0 0 0 
-0.567268 0.823552 0 0 0 0 
-0.572431 0.819972 0 0 0 0 
-0.577571 0.816359 0 0 0 0 
-0.582689 0.812714 0 0 0 0 
-0.587784 0.809037 0 0 0 0 
-0.592856 0.805328 0 0 0 0 
-0.597904 0.801588 0 0 0 0 
-0.602928 0.797815 0 0 0 0 
-0.607929 0.794011 0 0 0 0 
-0.612906 0.790176 0 0 0 0 
-0.617859 0.78631 0 0 0 0 
-0.622787 0.782412 0 0 0 0 
-0.62769 0.778484 0 0 0 0 
-0.632569 0.774525 0 0 0 0 
-0.637423 0.770535 0 0 0 0 
-0.642252 0.766515 0 0 0 0 
-0.647055 0.762465 0 0 0 0 
-0.651833 0.758384 0 0 0 0 
-0.656585 0.754274 0 0 0 0 
-0.661311 0.750134 0 0 0 0 
-0.666011 0.745964 0 0 0 0 
-0.670685 0.741765 0 0 0 0 
-0.675332 0.737536 0 0 0 0 
-0.679953 0.733278 0 0 0 0 
-0.684547 0.728992 0 0 0 0 
-0.689113 0.724676 0 0 0 0 
-0.693653 0.720333 0 0 0 0 
-0.698165 0.71596 0 0 0 0 
-0.70265 0.711559 0 0 0 0 
-0.707107 0.707131 0 0 0 0 
-0.711536 0.702674 0 0 0 0 
-0.715936 0.69819 0 0 0 0 
-0.720309 0.693678 0 0 0 0 
-0.724653 0.689138 0 0 0 0 
-0.728969 0.684572 0 0 0 0 
-0.733256 0.679978 0 0 0 0 
-0.737513 0.675358 0 0 0 0 
-0.741742 0.670711 0 0 0 0 
-0.745942 0.666037 0 0 0 0 
-0.750112 0.661337 0 0 0 0 
-0.754252 0.656611 0 0 0 0 
-0.758363 0.65186 0 0 0 0 
-0.762443 0.647082 0 0 0 0 
-0.766494 0.642279 0 0 0 0 
-0.770514 0.63745 0 0 0 0 
-0.774504 0.632597 0 0 0 0 
-0.778463 0.627718 0 0 0 0 
-0.782392 0.622815 0 0 0 0 
-0.78629 0.617887 0 0 0 0 
-0.790156 0.612934 0 0 0 0 
-0.793992 0.607958 0 0 0 0 
-0.797796 0.602957 0 0 0 0 
-0.801569 0.597933 0 0 0 0 
-0.80531 0.592885 0 0 0 0 
-0.809019 0.587813 0 0 0 0 
-0.812696 0.582719 0 0 0 0 
-0.816341 0.577601 0 0 0 0 
-0.819954 0.57246 0 0 0 0 
-0.823535 0.567297 0 0 0 0 
-0.827083 0.562112 0 0 0 0 
-0.830598 0.556904 0 0 0 0 
-0.834081 0.551675 0 0 0 0 
-0.837531 0.546423 0 0 0 0 
-0.840947 0.541151 0 0 0 0 
-0.844331 0.535856 0 0 0 0 
-0.847681 0.530541 0 0 0 0 
-0.850998 0.525204 0 0 0 0 
-0.854281 0.519847 0 0 0 0 
-0.85753 0.51447 0 0 0 0 
-0.860745 0.509072 0 0 0 0 
-0.863927 0.503654 0 0 0 0 
-0.867074 0.498216 0 0 0 0 
-0.870188 0.492758 0 0 0 0 
